wals_code,31A,118A,30A,119A,29A,85A,28A,32A,83A,86A,40A,39A,10A,47A,73A,121A,18A,21A,84A,57A,89A,9A,90A,63A,61A,66A,79A,42A,99A,44A,87A,13A,125A,111A,50A,69A,51A,98A,127A,54A,94A,122A,7A,88A,93A,62A,26A,129A,33A,80A,48A,49A,53A,55A,6A,123A,104A,25A,27A,65A,109A,46A,117A,100A,
eng,2,2,3,2,2,2,2,2,2,3,2,3,2,1,2,4,1,5,1,4,1,2,1,1,6,1,1,1,2,3,1,1,2,2,3,2,9,1,2,1,1,1,1,1,1,6,2,2,2,1,2,2,7,1,1,1,1,2,3,2,8,2,5,2,
dut,,2,,2,,2,,,3,2,,,,1,,4,,,6,4,1,,1,1,,,1,,,3,1,,,,3,2,9,,,1,1,,,1,,3,2,2,2,1,2,1,6,,,,1,,,,,3,5,2,
ger,2,,3,,2,2,3,3,3,2,3,3,2,2,2,,1,2,6,4,1,2,1,,,1,1,1,2,3,1,1,2,2,6,2,1,2,1,5,1,1,1,1,1,3,2,2,2,1,2,4,6,1,3,1,1,2,3,2,8,4,,2,
swe,,2,,2,,2,,,2,1,,,,1,2,,,,1,4,1,,1,1,,1,1,1,,,1,,,,3,2,9,,,,1,,,1,1,5,2,,2,1,,2,7,,,,,,,2,,3,5,,
fre,2,2,2,2,2,2,3,3,2,2,3,3,1,2,2,4,1,5,1,4,1,3,1,1,2,1,3,2,2,3,2,1,3,4,1,2,7,1,2,1,1,1,1,1,1,3,2,2,2,1,2,1,7,1,3,1,1,5,3,1,8,2,,2,
ita,,,,,,2,,,2,2,,,,2,,,,,,4,1,,1,,,,,1,,3,2,,3,,3,2,9,,2,,1,1,,1,,,2,2,2,,2,1,7,,,1,1,,3,,,2,,2,
rus,2,2,3,2,3,2,3,3,2,2,3,3,2,2,2,4,1,2,,4,1,3,1,1,2,1,3,1,2,3,1,1,2,2,6,4,1,2,2,5,1,1,1,1,1,3,2,1,2,1,2,6,7,1,1,1,1,2,3,1,8,1,1,2,
spa,2,2,2,1,2,2,3,3,2,2,3,3,2,2,2,4,1,1,1,4,1,3,1,1,2,1,3,1,2,1,2,1,3,4,3,2,9,2,2,1,1,4,1,1,1,3,2,2,2,1,2,1,7,,1,1,3,5,3,1,8,3,5,2,
pol,,2,,2,,2,,,2,2,,,,2,,,1,,,,1,,1,1,,,3,,,2,1,1,,,6,2,1,,,5,1,,1,1,1,,2,2,2,1,2,6,7,,1,,1,,,,,1,5,2,
wwy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
ceb,,1,,1,,2,,,2,2,,,,,2,1,,,,,,,1,,,4,,,,,,,,2,,1,,,,,,,,,,,,2,,,,,6,,,,,,,1,,,3,,
vie,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,5,1,4,1,1,1,1,5,4,4,,1,6,2,3,1,3,1,5,9,1,1,1,1,4,3,2,2,2,1,,7,1,2,1,8,3,1,,1,4,1,2,8,1,3,1,
jpn,,3,,1,1,1,1,,1,1,1,3,2,1,2,1,1,1,3,4,1,3,2,2,7,1,4,3,2,2,1,2,2,2,2,2,6,2,1,4,2,4,1,1,2,4,2,1,2,1,2,7,4,3,3,4,1,2,2,2,8,1,1,1,
por,,,,,,2,,,2,2,,,,2,,,,,,,,,1,,,1,,,,,2,,,,,2,9,,,,,,,1,,,2,2,2,,,,7,,,,,,3,1,,4,,,
ukr,2,,3,,,2,,3,2,,,,,,,,,,,4,1,,1,,,,3,,,,1,,,,,2,1,,,5,1,,,1,,,2,1,2,1,,,7,,,,,,,,8,1,,,
ctl,,,,,,2,,,2,2,,,,2,,,1,,,,1,,1,,,,,,,,2,1,,,3,,,,,,,,1,1,,,,2,,,,1,7,,1,,,,3,,,,,,
fin,1,2,1,2,3,1,3,1,2,1,3,3,2,1,2,4,1,2,1,2,1,2,1,1,2,1,4,1,2,6,1,1,2,2,3,2,1,2,2,1,1,1,1,1,1,4,2,2,2,1,3,8,7,1,1,1,1,5,3,2,8,3,1,2,
prs,1,2,1,2,3,2,1,1,1,2,3,3,2,1,2,,1,1,,4,1,3,1,1,2,1,3,3,2,3,2,1,3,2,2,4,9,2,1,1,1,4,1,1,2,3,3,,2,1,3,2,5,2,2,3,2,5,1,1,8,2,5,2,
ind,1,1,1,1,1,2,1,1,2,2,1,5,2,1,2,,1,5,1,4,1,1,1,2,5,4,4,1,1,6,2,1,1,2,1,2,9,1,1,1,1,4,1,2,3,3,2,2,5,1,2,1,5,2,1,4,1,4,2,2,2,2,3,2,
cze,,2,,2,,2,,,2,3,,,,,,,,,,4,1,,1,,,,3,1,,,1,,,,,4,1,,,5,1,,,1,2,,3,1,2,1,,,7,,,,,,,,,,5,,
kor,,3,,1,1,1,1,,1,1,1,3,2,1,2,1,1,1,,,1,2,2,1,6,1,4,2,2,3,1,1,1,2,2,2,1,2,1,4,2,4,2,1,2,1,2,2,2,1,2,6,4,3,1,4,1,2,1,1,8,1,1,1,
hun,1,2,1,2,3,1,4,1,2,1,3,3,2,1,2,4,1,1,,2,1,3,7,1,2,1,1,1,2,6,1,1,3,2,2,2,1,2,1,2,1,1,1,1,2,7,2,2,2,1,3,8,7,2,1,1,5,5,1,2,8,1,1,2,
