eng english
dut dutch
ger german
swe swedish
fre french
ita italian
rus russian
spa spanish
pol polish
wwy waray_waray
ceb cebuano
vie vietnamese
jpn japanese
por portuguese
ukr ukrainian
ctl catalan
fin finnish
prs persian
ind indonesian
cze czech
kor korean
hun hungarian
mly malay
rom romanian
min minangkabau
tur turkish
kaz kazakh
svk slovak
dsh danish
bsq basque
lit lithuanian
bul bulgarian
uzb uzbek
est estonian
hin hindi
glc galician
aze azerbaijani
occ occitan
tha thai
geo georgian
mcd macedonian
tag tagalog
tml tamil
tel telugu
tvo tatar
lat latvian
wel welsh
alb albanian
bos bosnian
mal malagasy
bre breton
jav javanese
mhi marathi
ice icelandic
mym malayalam
brm burmese
bsk bashkir
yor yoruba
afr afrikaans
ben bengali
cnt cantonese
urd urdu
swa swahili
iri irish
kgz kirghiz
nep nepali
guj gujarati
taj tajik
chv chuvash
ast asturian
sun sundanese
knd kannada
amh amharic
ydd yiddish
kpm kapampangan
mao maori
far faroese
gil gilaki
tkm turkmen
psh pashto
mgl mingrelian
chc chechen
mnx manx
oya oriya
zaz zazaki
khm khmer
pnn pangasinan
ksu kashubian
hak hakka
kop komi_permyak
udm udmurt
lno ladino
srd sardinian
mlt maltese
uyg uyghur
aym aymara
som somali
crn cornish
gag gagauz
ass assamese
nav navajo
ace acehnese
lin lingala
krc karachay_balkar
lez lezgian
kmk kalmyk
haw hawaiian
kin kinyarwanda
cri crimean_tatar
tng tongan
kbl kabyle
shn shona
pap papiamentu
tpi tok_pisin
lao lao
lak lak
wlf wolof
ava avar
sra sranan
tah tahitian
kon kongo
nau nauruan
igb igbo
kkp karakalpak
zul zulu
cyn cheyenne
tsw tswana
che cherokee
bsm bislama
sam samoan
bam bambara
swt swati
sdh sindhi
kik kikuyu
ewe ewe
tuv tuvan
hau hausa
fij fijian
tig tigrinya
tsn tsonga
kas kashmiri
san sango
ven venda
ses sesotho
akn akan
lda luganda
cic chichewa
cha chamorro
xho xhosa
ndo ndonga
cct choctaw
msh marshallese
knr kanuri
her herero
mnd chinese
nor norwegian_bokmal
amr arabic_moroccoan
ams arabic_modern_standard
heb hebrew
slo slovenian
nor norwegian_nynorsk
arm armenian_eastern
arw armenian_western
grk greek
scr serbo_croatian
new newar_nepal_bhasa
hcr haitian
lux luxembourgish
frw west_frisian
pan western_panjabi
lge low_saxon
krd kurdish
que quechua
bug buginese
itn neapolitan
krd sorani
gae scottish_gaelic
aeg egyptian_arabic
ykt sakha
nhh nahuatl1
nhn nahuatl2
snh sinhalese
gba bavarian
sou upper_sorbian
dli limburgish
ilo ilokano
fno north_frisian
bkl central_bicolano
mah hill_mari
kzy komi_kop
mme meadow_mari
dhi divehi
vep vepsian
wuc wu
fea saterland_frisian
grp ripuarian
grn guarani
dut pennsylvania_german
srl lower_sorbian
nsy aramaic1
naa aramaic2
naj aramaic3
nap aramaic4
grw greenlandic
moe erzya
mmo moksha
kab kabardian_circassian
cvc zamboanga_chavacano
ttd tetum
but buryat_russia
stn northern_sotho
zhn zhuang
mol moldovan
inr inuktitut1
ins inuktitut2_ins
iql inuktitut3
owc oromo1
orb oromo2
orh oromo3
orw oromo4
akn twi
rnd kirundi
cea cree
fua fula1
fus fula2
fbf fula3
fga fula4
fna fula5
fni fula6
qaf afar
crk muscogee
